Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.367382083333333,SMBus,Command FullChargeCapacity 0x10,,,,,,,,,,
0.36773675,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.3680115,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.368353916666667,SMBus,PEC 0xAA OK,,,,,,,,,,
0.36943,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.369580166666667,SMBus,Command Current 0x0A,,,,,,,,,,
0.369954,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.370222333333333,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.3705875,SMBus,PEC 0x51 OK,,,,,,,,,,
0.371628083333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.37177825,SMBus,Command RunTimeToEmpty 0x11,,,,,,,,,,
0.3721265,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.372393583333333,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.372750083333333,SMBus,PEC 0x98 OK,,,,,,,,,,
0.374912416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.375062583333333,SMBus,Command AverageCurrent 0x0B,,,,,,,,,,
0.375436333333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.375711166666667,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.376082166666667,SMBus,PEC 0x47 OK,,,,,,,,,,
0.37723825,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.377388416666667,SMBus,Command AverageTimeToFull 0x13,,,,,,,,,,
0.37776225,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.378030166666667,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.378373083333333,SMBus,PEC 0xB4 OK,,,,,,,,,,
0.379551333333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.3797015,SMBus,Command AverageTimeToEmpty 0x12,,,,,,,,,,
0.3800625,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.380345166666667,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.380686166666667,SMBus,PEC 0xA2 OK,,,,,,,,,,
0.381864416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.382014583333333,SMBus,Command CycleCount 0x17,,,,,,,,,,
0.382388416666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.38265675,SMBus,Word 0x1405 ACK,,,,,,,,,,
0.38299925,SMBus,PEC 0xD0 OK,,,,,,,,,,
0.384433166666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.38458325,SMBus,Command MaxError 0x0C,,,,,,,,,,
